Order_ID,Order_Date,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Region,Payment_Method,Total_Revenue,Year,Month_Num,Year_Month,Month_Name,Quarter,Day_Of_Week,Hour_Of_Day
ORD-10075,2025-01-01 00:00:00,CUST-573,Standing Desk Converter,Furniture,4,220.0,Latin America,Credit Card,880.0,2025,1,2025-01,Jan,2025Q1,Wednesday,0
ORD-11338,2025-01-02 00:00:00,CUST-545,Ergonomic Office Chair,Furniture,1,349.99,Middle East,Crypto,349.99,2025,1,2025-01,Jan,2025Q1,Thursday,0
ORD-10029,2025-01-02 00:00:00,CUST-752,Wireless Vertical Mouse,Electronics,1,49.99,Asia-Pacific,Unspecified,49.99,2025,1,2025-01,Jan,2025Q1,Thursday,0
ORD-10696,2025-01-02 09:00:00,CUST-169,Wireless Vertical Mouse,Electronics,1,49.99,North America,Debit Card,49.99,2025,1,2025-01,Jan,2025Q1,Thursday,9
ORD-11031,2025-01-02 14:00:00,CUST-671,Espresso Coffee Machine,Home & Kitchen,3,499.0,Middle East,PayPal,1497.0,2025,1,2025-01,Jan,2025Q1,Thursday,14
ORD-11388,2025-01-02 14:00:00,CUST-177,USB-C Multi-Port Hub,Audio & Accessories,9,45.0,Asia-Pacific,Crypto,405.0,2025,1,2025-01,Jan,2025Q1,Thursday,14
ORD-10712,2025-01-02 17:00:00,CUST-109,Mechanical Gaming Keyboard,Electronics,2,119.0,Europe,Debit Card,238.0,2025,1,2025-01,Jan,2025Q1,Thursday,17
ORD-10732,2025-01-02 18:00:00,CUST-335,USB-C Multi-Port Hub,Audio & Accessories,3,45.0,Latin America,Crypto,135.0,2025,1,2025-01,Jan,2025Q1,Thursday,18
ORD-10190,2025-01-02 19:00:00,CUST-174,Standing Desk Converter,Furniture,1,220.0,North America,Debit Card,220.0,2025,1,2025-01,Jan,2025Q1,Thursday,19
ORD-10838,2025-01-03 00:00:00,CUST-UNKNOWN,4K Ultra HD Smart Monitor 27in,Electronics,3,450.0,Latin America,Bank Transfer,1350.0,2025,1,2025-01,Jan,2025Q1,Friday,0
ORD-10405,2025-01-03 12:00:00,CUST-618,Noise-Isolating Earbuds,Audio & Accessories,6,29.99,North America,Crypto,179.94,2025,1,2025-01,Jan,2025Q1,Friday,12
ORD-11472,2025-01-03 20:00:00,CUST-558,4K Ultra HD Smart Monitor 27in,Electronics,5,450.0,Europe,Bank Transfer,2250.0,2025,1,2025-01,Jan,2025Q1,Friday,20
ORD-10400,2025-01-03 20:00:00,CUST-248,Standing Desk Converter,Furniture,1,220.0,Latin America,Crypto,220.0,2025,1,2025-01,Jan,2025Q1,Friday,20
ORD-10116,2025-01-04 00:00:00,CUST-279,4K Ultra HD Smart Monitor 27in,Electronics,4,450.0,Europe,Debit Card,1800.0,2025,1,2025-01,Jan,2025Q1,Saturday,0
ORD-11149,2025-01-04 00:00:00,CUST-119,Noise-Isolating Earbuds,Audio & Accessories,5,29.99,North America,PayPal,149.95,2025,1,2025-01,Jan,2025Q1,Saturday,0
ORD-10552,2025-01-04 08:00:00,CUST-191,Mechanical Gaming Keyboard,Electronics,2,119.0,Middle East,Bank Transfer,238.0,2025,1,2025-01,Jan,2025Q1,Saturday,8
ORD-10792,2025-01-04 14:00:00,CUST-879,Wireless Noise-Canceling Headphones,Audio & Accessories,2,249.5,Asia-Pacific,Debit Card,499.0,2025,1,2025-01,Jan,2025Q1,Saturday,14
ORD-10090,2025-01-05 00:00:00,CUST-896,Stainless Steel Water Bottle,Home & Kitchen,1,25.0,North America,Crypto,25.0,2025,1,2025-01,Jan,2025Q1,Sunday,0
ORD-10928,2025-01-05 00:00:00,CUST-834,Smart LED Desk Lamp,Home & Kitchen,3,39.99,Asia-Pacific,PayPal,119.97,2025,1,2025-01,Jan,2025Q1,Sunday,0
ORD-10749,2025-01-05 00:00:00,CUST-954,Wireless Vertical Mouse,Electronics,3,49.99,Asia-Pacific,Bank Transfer,149.97,2025,1,2025-01,Jan,2025Q1,Sunday,0
ORD-10316,2025-01-05 11:00:00,CUST-924,Noise-Isolating Earbuds,Audio & Accessories,2,29.99,Asia-Pacific,Bank Transfer,59.98,2025,1,2025-01,Jan,2025Q1,Sunday,11
ORD-10025,2025-01-05 15:00:00,CUST-676,Smart LED Desk Lamp,Home & Kitchen,4,39.99,North America,Credit Card,159.96,2025,1,2025-01,Jan,2025Q1,Sunday,15
ORD-10239,2025-01-05 15:00:00,CUST-934,UltraBook Pro 15,Electronics,1,1299.99,Latin America,Crypto,1299.99,2025,1,2025-01,Jan,2025Q1,Sunday,15
ORD-10866,2025-01-05 20:00:00,CUST-853,UltraBook Pro 15,Electronics,1,1299.99,Asia-Pacific,Credit Card,1299.99,2025,1,2025-01,Jan,2025Q1,Sunday,20
ORD-10902,2025-01-06 00:00:00,CUST-711,Espresso Coffee Machine,Home & Kitchen,1,499.0,Europe,Credit Card,499.0,2025,1,2025-01,Jan,2025Q1,Monday,0
ORD-10885,2025-01-06 00:00:00,CUST-292,Bluetooth Portable Speaker,Audio & Accessories,1,89.99,Middle East,PayPal,89.99,2025,1,2025-01,Jan,2025Q1,Monday,0
ORD-10010,2025-01-06 00:00:00,CUST-798,Bluetooth Portable Speaker,Audio & Accessories,1,89.99,Middle East,Bank Transfer,89.99,2025,1,2025-01,Jan,2025Q1,Monday,0
ORD-11274,2025-01-06 12:00:00,CUST-UNKNOWN,Espresso Coffee Machine,Home & Kitchen,2,499.0,Asia-Pacific,Credit Card,998.0,2025,1,2025-01,Jan,2025Q1,Monday,12
ORD-10860,2025-01-06 13:00:00,CUST-386,UltraBook Pro 15,Electronics,4,1299.99,Europe,Bank Transfer,5199.96,2025,1,2025-01,Jan,2025Q1,Monday,13
ORD-11318,2025-01-06 13:00:00,CUST-907,4K Ultra HD Smart Monitor 27in,Electronics,1,450.0,North America,Credit Card,450.0,2025,1,2025-01,Jan,2025Q1,Monday,13
ORD-11252,2025-01-07 00:00:00,CUST-991,Smart LED Desk Lamp,Home & Kitchen,1,39.99,Middle East,Credit Card,39.99,2025,1,2025-01,Jan,2025Q1,Tuesday,0
ORD-11416,2025-01-08 00:00:00,CUST-642,4K Ultra HD Smart Monitor 27in,Electronics,1,450.0,North America,Crypto,450.0,2025,1,2025-01,Jan,2025Q1,Wednesday,0
ORD-10141,2025-01-09 00:00:00,CUST-453,Smart Fitness Watch V2,Electronics,1,199.95,Europe,Credit Card,199.95,2025,1,2025-01,Jan,2025Q1,Thursday,0
ORD-11305,2025-01-09 08:00:00,CUST-312,Wireless Vertical Mouse,Electronics,5,49.99,Europe,Credit Card,249.95,2025,1,2025-01,Jan,2025Q1,Thursday,8
